2022,City,State[c],2022,2020,Change,2020 land area,,2020 population density,,Location,Latitude,Longitude,,
40,Omaha,Nebraska,485153,486051,−0.18%,141.6 sq mi,366.7 km2,"3,433/sq mi","1,325/km2",41.26°N 96.05°W,41.26,96.05,,
41,Raleigh,North Carolina,476587,467665,0.0191,147.1 sq mi,381.0 km2,"3,179/sq mi","1,227/km2",35.83°N 78.64°W,35.83,78.64,,
42,Virginia Beach[m],Virginia,455618,459470,−0.84%,244.7 sq mi,633.8 km2,"1,878/sq mi",725/km2,36.78°N 76.03°W,36.78,76.03,,
43,Long Beach,California,451307,466742,−3.31%,50.7 sq mi,131.3 km2,"9,206/sq mi","3,554/km2",33.78°N 118.17°W,33.78,118.17,,
44,Miami,Florida,449514,442241,0.0164,36.0 sq mi,93.2 km2,"12,284/sq mi","4,743/km2",25.78°N 80.21°W,25.78,80.21,,
45,Oakland,California,430553,440646,−2.29%,55.9 sq mi,144.8 km2,"7,883/sq mi","3,044/km2",37.77°N 122.23°W,37.77,122.23,,
46,Minneapolis,Minnesota,425096,429954,−1.13%,54.0 sq mi,139.9 km2,"7,962/sq mi","3,074/km2",44.96°N 93.27°W,44.96,93.27,,
47,Tulsa,Oklahoma,411867,413066,−0.29%,197.5 sq mi,511.5 km2,"2,091/sq mi",807/km2,36.13°N 95.90°W,36.13,95.9,,
48,Bakersfield,California,410647,403455,0.0178,149.8 sq mi,388.0 km2,"2,693/sq mi","1,040/km2",35.35°N 119.04°W,35.35,119.04,,
49,Tampa,Florida,398173,384959,0.0343,114.0 sq mi,295.3 km2,"3,377/sq mi","1,304/km2",27.97°N 82.47°W,27.97,82.47,,
50,Wichita,Kansas,396192,397532,−0.34%,162.0 sq mi,419.6 km2,"2,454/sq mi",947/km2,37.69°N 97.35°W,37.69,97.35,,
